OfferPersonId,OfferId,Question,Textmatching,Duration,Cooperation,Price,Rank,User
3116C180-A99A-41B5-B547-FCC0EADA3699,AA8696A3-E4FD-4847-B6C7-4A17BA455D73,22,70,23 07:07,0,"186,78",3,NR
A34FA8F0-4213-4423-9E29-FB417B7D07F2,AA8696A3-E4FD-4847-B6C7-4A17BA455D73,22,80,18 18:39,0,"156,73",2,NR
BFF078AB-BA82-4FFA-A506-F3FAEE9237F4,AA8696A3-E4FD-4847-B6C7-4A17BA455D73,22,0,13 16:10,1,"93,9",1,NR
E918DAD3-30C0-4A91-8FA2-5DE3DAC7E57D,44836ACA-82B2-4A70-BE59-4AD472078C87,23,30,11 23:22,1,"40,56",2,NR
A7E3EBBB-68F9-4EDB-A69F-2F8E85F58EDA,44836ACA-82B2-4A70-BE59-4AD472078C87,23,10,17 17:40,2,"49,07",3,NR
A12B5FDA-BB7E-4EBD-B247-2BB940D0B21F,44836ACA-82B2-4A70-BE59-4AD472078C87,23,60,13 03:12,0,"33,75",1,NR
1698EB80-5AC3-4347-99C8-A77315765403,9CBE37A6-FC01-4B2E-B4E4-4AE567FDB915,24,30,06 17:27,1,"11,13",1,NR
7EDF68FA-420B-449E-9021-E08F3B211ECC,9CBE37A6-FC01-4B2E-B4E4-4AE567FDB915,24,10,06 02:39,1,"7,97",2,NR
76497BE5-4A28-4F8A-9173-3E278148941F,9CBE37A6-FC01-4B2E-B4E4-4AE567FDB915,24,80,08 06:53,0,"9,23",3,NR
999B03BB-83A8-44E2-B513-3C67A274AE2F,7B6A1CA2-FB4E-449F-B554-4B81F52610ED,25,40,25 10:46,1,"313,22",3,NR
3E24BD8D-5D85-4368-87B5-6651B6DD243C,7B6A1CA2-FB4E-449F-B554-4B81F52610ED,25,30,14 08:17,0,"480,52",2,NR
97433177-D2DF-4668-A32D-40D0FD7471EE,7B6A1CA2-FB4E-449F-B554-4B81F52610ED,25,10,20 22:36,1,"313,22",1,NR
6EC01DBA-058D-47B3-9154-DAEE2FC743B4,427094B2-FBEA-46A5-80C4-4BC3502F3519,26,70,11 03:09,0,"47,33",3,NR
94E92443-8BAE-43F2-B98F-ECE4DB21D94B,427094B2-FBEA-46A5-80C4-4BC3502F3519,26,80,13 22:12,0,"52,63",1,NR
BA758BA7-055D-4644-BDE6-85FE31955138,427094B2-FBEA-46A5-80C4-4BC3502F3519,26,0,09 22:32,0,"38,26",2,NR
FC80A125-D5D7-4F57-B566-D01B04A8B4AA,9935BF19-1B56-4B07-8D07-4C16C30A6F5D,27,40,07 11:15,1,"7,28",1,NR
E32D4FB1-8352-4B77-A012-71867D915963,9935BF19-1B56-4B07-8D07-4C16C30A6F5D,27,90,12 08:56,0,"8,16",2,NR
D5F91B95-9D25-4D98-A9C3-86580CBCE1E5,9935BF19-1B56-4B07-8D07-4C16C30A6F5D,27,50,09 04:17,0,"7,86",3,NR
587F72EF-88BB-4BCC-9645-E247017BF4DA,E9FAD371-A9F2-4432-94C2-4C8CFB48FCFB,28,50,17 09:02,0,"66,11",3,NR
9D1D7CEB-83B8-4EFF-BEAA-FA6A4A7E84F2,E9FAD371-A9F2-4432-94C2-4C8CFB48FCFB,28,10,13 12:59,1,"60,15",2,NR
31AA8D23-AFF5-4461-88EC-664679B026C4,E9FAD371-A9F2-4432-94C2-4C8CFB48FCFB,28,80,16 07:13,0,"66,11",1,NR
E01B45B9-BE53-471A-9482-FB17EE17A3B9,F89A45F5-A263-410B-8275-4CB0604B897A,29,70,18 16:58,0,"192,06",3,NR
C16B1120-9474-48D6-91EC-5204C93567E0,F89A45F5-A263-410B-8275-4CB0604B897A,29,50,14 01:53,0,"177,79",1,NR
88D3B101-E390-4C8A-B49D-FB8459288425,F89A45F5-A263-410B-8275-4CB0604B897A,29,30,22 19:26,0,"127,82",2,NR
B0FEEAEB-0847-449E-8BB9-40DA3FC92241,A803F02C-6188-42F9-9AA7-4D66C1333F86,30,90,14 08:33,0,"17,45",2,NR
C8B1EF87-8398-4D38-8E11-9B1D17823307,A803F02C-6188-42F9-9AA7-4D66C1333F86,30,50,07 07:50,0,"14,98",1,NR
31E83A90-98B1-45C2-B91E-6BB7D6392797,A803F02C-6188-42F9-9AA7-4D66C1333F86,30,50,12 11:07,0,"11,96",3,NR
73F5CA04-F696-4F99-8883-23DD03B82CE0,6354A920-A465-49EC-8B77-4DB79BC0F667,31,20,16 19:14,1,"123,86",3,NR
AC775D74-BCD4-4055-AB60-2BD5191A2B42,6354A920-A465-49EC-8B77-4DB79BC0F667,31,80,08 14:42,1,"149,94",1,NR
C9A1C177-B337-47E4-9556-4425534A68F6,6354A920-A465-49EC-8B77-4DB79BC0F667,31,80,10 08:20,2,"162,98",2,NR
2E70F944-ACEF-4267-B01B-739B5770F498,177E7B72-B937-4B53-9A85-4F2CF84F3759,32,40,05 22:57,0,"7,84",2,NR
8B5AC863-5E34-45D0-AF6D-3347A9E4818D,177E7B72-B937-4B53-9A85-4F2CF84F3759,32,90,09 17:12,0,"8,45",1,NR
A4CFF6A3-E5C3-491B-A89A-8BACDDAA332B,177E7B72-B937-4B53-9A85-4F2CF84F3759,32,60,09 17:12,1,"8,15",3,NR
F073612E-F912-4F2E-BDE4-9F2D0B440002,AFEA360C-3304-4B04-B6AD-4FF0F5FB931B,33,60,08 17:34,1,"7,57",1,NR
3164414A-45AE-4015-95D4-4077BE8F7929,AFEA360C-3304-4B04-B6AD-4FF0F5FB931B,33,50,14 07:51,0,"7,13",2,NR
565D6D95-3203-44AC-988A-41664E51F9B4,AFEA360C-3304-4B04-B6AD-4FF0F5FB931B,33,10,17 18:31,0,"7,47",3,NR
68ADDCC3-25AB-4B99-AFBA-559122D71D88,98CA76D7-F730-40DC-B361-4FFBD52B3447,34,50,10 22:06,1,"23,22",3,NR
FEF6A119-DF59-4B57-AEFE-5FA97E35E00A,98CA76D7-F730-40DC-B361-4FFBD52B3447,34,80,06 22:02,0,"31,08",1,NR
B4403C88-D241-4D01-B26B-F2A22ABBBD34,98CA76D7-F730-40DC-B361-4FFBD52B3447,34,40,07 03:02,0,"18,3",2,NR
E8E14FC9-7CEA-4442-B9EF-03808025E157,4A90CD3D-1617-441B-B6B4-50391A82FEC3,35,10,15 08:51,0,"6,71",3,NR
1036BAE4-417C-4D28-AF16-C269A73F8316,4A90CD3D-1617-441B-B6B4-50391A82FEC3,35,80,07 13:43,0,"6,89",1,NR
61015CC8-DE2F-4CF6-A171-414AC832A807,4A90CD3D-1617-441B-B6B4-50391A82FEC3,35,10,11 03:58,1,"6,93",2,NR
3310E7DD-43B1-4879-9F32-42BA993F2D72,ED05D21F-377D-4A06-A11A-506BF9932C1A,36,70,27 14:59,0,"576,28",2,NR
B65F3B2F-5204-4267-AE46-2587A9D56D47,ED05D21F-377D-4A06-A11A-506BF9932C1A,36,50,28 20:49,1,"735,8",3,NR
EAF3C201-A0A8-4B34-AB5F-24BCF969CCFD,ED05D21F-377D-4A06-A11A-506BF9932C1A,36,0,30 01:26,0,"255,94",1,NR
86604196-0978-46F5-B66F-F68CC63A1938,BC2E6CD2-23BC-48B0-9074-5091063AB017,37,30,14 03:53,1,"16,51",1,NR
9AA4FF44-39E7-4A43-BB78-E404F931CEBD,BC2E6CD2-23BC-48B0-9074-5091063AB017,37,40,13 02:52,0,"39,06",3,NR
CD2C8B99-1C1E-412D-9A57-B929FD1596A1,BC2E6CD2-23BC-48B0-9074-5091063AB017,37,30,09 07:48,1,"55,34",2,NR
F8D71C1C-A54A-46C5-9CAE-ECA5F7B832DD,74D42E94-AEAE-42C0-863F-5181236C658C,38,40,20 05:26,0,"266,97",1,NR
B196FED2-97D9-4710-A89F-BD4B40DD25D1,74D42E94-AEAE-42C0-863F-5181236C658C,38,60,21 23:52,1,"353,81",2,NR
4AB096AF-2085-414E-BB2C-5B8D6D8D7AC9,74D42E94-AEAE-42C0-863F-5181236C658C,38,10,25 06:08,1,"295,91",3,NR
F40B6114-D5DF-49A0-B5C1-53B077CA05D7,B84010BF-69BF-4E1A-A274-5186B951EA89,39,40,07 23:22,0,"70,97",1,NR
8D9B1080-3434-4EE7-AEE5-727262D5576A,B84010BF-69BF-4E1A-A274-5186B951EA89,39,40,12 06:15,1,"71,98",2,NR
5BF6AF9C-1215-4CAC-85DF-9A153364D229,B84010BF-69BF-4E1A-A274-5186B951EA89,39,40,15 13:42,0,"71,98",3,NR
0B9CD012-A1F8-4158-BE11-E035DC706E13,17A6CED1-3A91-41C1-8954-51AEE63E4511,40,20,19 08:11,2,"367,75",2,NR
A532E005-9DAB-4AA6-9F35-79413370785B,17A6CED1-3A91-41C1-8954-51AEE63E4511,40,30,18 10:41,0,"227,11",1,NR
BF156318-AAFF-47DD-946D-5F66AA4E7928,17A6CED1-3A91-41C1-8954-51AEE63E4511,40,80,21 03:01,0,"433,92",3,NR
DAF3432E-316F-4439-B148-49DB563A3CCB,33B4E8E7-4B91-4B89-A980-51D259FCC5F2,41,30,07 03:56,0,"8,84",1,NR
C8703719-DD72-4D6B-970E-F5D344866DC5,33B4E8E7-4B91-4B89-A980-51D259FCC5F2,41,30,13 08:14,0,"10,09",2,NR
A6455FF1-E084-4066-A5E8-8AA6BEC1048D,33B4E8E7-4B91-4B89-A980-51D259FCC5F2,41,40,17 18:31,1,"10,6",3,NR
5160E121-1FD5-483A-9E19-2F09ADD4AC0E,5ADE8955-57B4-4F62-8DEB-51E812E44A7A,42,10,21 11:53,0,"189,7",3,NR
DBE53267-CC17-4294-9E1F-5E5E3744F0FC,5ADE8955-57B4-4F62-8DEB-51E812E44A7A,42,50,13 19:21,0,"156,38",1,NR
