GP2,Top1,Top5,Feedback
0.376422688165855,0.001750994,0.051796462,4.8
0.0777005513237434,0.002634855,0.196048798,4.4
0.19496071979712,2.588967,14.319597,4.6
0.0260947109853698,0.01378482,2.66194784,3.8
0.273938911999521,0.01327662,3.6409304,4.8
0.0954463315254779,0.01669065,2.60636275,4.6
0.121293081481967,1.248541,1.248541,4.4
0.0251991078066888,0.07692423,1.16620223,3.8
0.258571330791571,0.01302081,1.09309523,3.8
0.0376690819090842,0.02895237,2.10052997,4.2
0.0818261443572527,0.002433238,0.100381832,4.4
0.107697821052199,0.06804373,0.43383488,3.8
0.121293081481967,1.149092,1.149092,4.2
0.111912884822861,0.00571329,0.20028275,4
0.414439672499923,0.09158024,3.41783654,5
0.0857671604269111,11.57111,11.57111,3.8
0.0569977099942379,0.04002518,0.35500843,4.8
0.381143089559602,0.04066347,0.26901861,4.6
0.812339931043168,0.07289643,1.11135163,4.4
0.407164250614357,0.08082488,3.77612248,5
0.422584039790785,0.2075479,1.9371592,4
0.506682173269991,0.009597949,0.100654838,4
0.130396860937004,0.02697055,0.91163385,3.8
0.113125788564135,0.0003528617,0.0795070137,4.8
0.819370086168492,0.1044372,0.522186,4.6
0.11213319625901,0.0001904407,0.1930509607,4.4
0.051457194048802,0.003856667,2.138637347,4.4
0.0910260293745193,0.009381194,0.138652598,3.8
0.173201211001261,0.0493781,1.18405366,4.8
0.106398201846555,0.05864057,0.49103405,4.4
0.231848675128787,0.03780317,1.47768817,3.8
0.216706587107291,0.05615907,2.04655575,4.4
0.803232277225861,0.01126853,0.64135217,4.8
0.38018769474972,0.0195443,0.1997596,4.6
0.0666020900843226,9.079399,9.079399,4
0.367334235520463,0.009282853,0.094319734,4
0.0340344235965263,0.03209214,2.47938549,3.6
0.213313900870353,0.07746751,0.58730492,3.8
0.113041759627865,0.0581375,0.47850087,3.6
0.0952992259020752,0.01198447,4.28130057,4.2
0.121293081481967,0.8194019,0.8194019,4.6
0.0921628117326447,9.588015,9.588015,5
0.820448516540521,0.1329861,2.1849353,5
0.0916556247903354,0.006443664,0.149515304,4.8
0.499022106315618,0.1185687,0.6505338,4.4
0.799024066185325,0.1242959,1.2734134,4.8
0.224605546111246,0.009595494,1.091353654,3.8
0.156566027315276,0.06184511,9.27924211,3.8
0.169506988210454,0.1426931,0.4763485,4.6
0.478487571608195,0.0793654,0.94072538,4
0.0811135723017804,2.789712,2.789712,5
0.121293081481967,1.027821,1.027821,4.6
0.0294681842607112,0.08536523,1.59801053,3.8
0.175348752627657,0.01548969,0.56359189,3.8
0.810189157039504,0.08984414,1.23514434,3.8
0.0985810389087876,0.004868094,0.180542004,4.8
0.0606465407409834,1.171004,1.171004,4
0.0296261931441713,0.09609921,2.00100361,4.4
0.0953101384098922,0.0002551652,0.1398723142,4
0.478487571608195,0.07758177,1.64454522,4.4
0.101994917413263,1.862017,1.862017,5
0.0606465407409834,1.766122,1.766122,4.8
0.529858413958575,0.007623336,0.046274908,4
0.0479336019815378,9.773758,9.773758,4.2
0.17178922801686,0.1072994,7.5285384,4.8
0.275050291664558,0.06251455,0.88828115,4.2
0.121293081481967,0.9357942,0.9357942,4.2
